SN_CODE,SN_CITY,SN_PROV,SN_LEVEL,SN_LNG,SN_NAME,SN_LAT,ST_PRICEURL,SN_THEME
1000290,乌兰察布,内蒙古,,113.867147,梓瑞达休闲农庄,40.940787,,
1000291,呼伦贝尔,内蒙古,,124.505904,中国达斡尔民族园,48.574266,,
1000292,赤峰,内蒙古,,118.651653,赤峰宁城藏龙谷景区,41.380684,,湖光山色
1000293,呼伦贝尔,内蒙古,4A,123.836342,红花尔基樟子松国家森林公园,49.877744,,
1000294,通辽,内蒙古,,122.297657,通辽纳斯盾大都汇洗浴中心,43.640493,18,
1000295,包头,内蒙古,3A,109.846239,梅力更风景区,40.647119,48,湖光山色
1000296,乌兰察布,内蒙古,,113.074696,怡水山庄温泉,41.138619,,温泉
1000297,阿拉善盟,内蒙古,,104.873152,腾格里沙漠月亮湖,37.939926,90,
1000298,呼伦贝尔,内蒙古,,118.772244,诺门罕战争遗址,47.782503,,
1000299,鄂尔多斯,内蒙古,4A,108.634838,鄂尔多斯草原,39.817596,82,
1000300,赤峰,内蒙古,,119.047623,道谷南山滑雪场,42.224023,,滑雪
1000301,呼伦贝尔,内蒙古,,117.9740744943,呼伦贝尔大草原,49.0914875419,,草原沙漠
1000302,鄂尔多斯,内蒙古,4A,108.248033,七星湖沙漠生态旅游景区,39.837521,99,
1000303,赤峰,内蒙古,,118.930761,赤峰美林谷滑雪场,42.297112,,滑雪
1000304,鄂尔多斯,内蒙古,3A,109.794393,鄂尔多斯康巴什康镇景区,39.6168,,
